formula,TC
AgBr,0.5324464372285903
AgCl,0.5076814928374872
BaO,3.105960682473178
BaS,6.248899034839497
BaSe,11.422769913530052
BaTe,11.569691298509456
CaO,26.50144293624608
CaS,37.00100974066377
CaSe,18.88810237692597
CaTe,11.251761058856696
CdO,8.596884604860122
CsF,1.524343765199638
BrK,2.8819708700878124
ClK,7.25252794229154
FK,7.499885792777106
HK,10.809415276413256
IK,2.095276061847134
BrLi,2.8543014030268825
ClLi,4.820913008186313
FLi,16.533653090291597
HLi,40.228930506837536
ILi,2.106651824046763
MgO,66.06932152405832
BrNa,2.904536884483077
ClNa,7.95828288351462
FNa,24.508893457866503
HNa,16.683299345278375
INa,2.134234802032447
PbSe,2.235803693459575
PbTe,3.205886009838356
BrRb,3.580745504548553
ClRb,2.508627712018214
FRb,2.956639064000633
HRb,5.7396759252164005
IRb,2.01353397522604
OSr,10.613351708533685
AgI,2.455758728769999
AlAs,64.64743859679771
AlN,245.2704093643856
AlP,67.74721670610886
AlSb,50.338684347127376
AsB,1316.4723840736665
BeO,310.93494411307404
BeTe,197.4769879630724
BN,1036.7654131789038
BP,440.8682856554829
CdS,19.876929564235827
CdSe,12.476415846764713
CdTe,6.284424732028807
ClCu,1.7289937126642387
CuH,5.777278381676896
CuI,8.955042925685737
AsGa,30.679165561702888
GaN,300.67351603144067
GaP,119.21823647454724
GaSb,24.721266390128005
AsIn,21.438211001284497
InN,114.50887077331474
InP,69.15364550709126
InSb,10.878160439978116
MgTe,8.352737219547302
CSi,454.4101258161733
SZn,61.09127307917177
SeZn,18.49308173215492
TeZn,20.90239196689849
AgI,4.0876875222285385
AlAs,80.87898505735956
AlN,240.67197827649065
AlP,80.52964132425929
AlSb,108.21515077187792
AsB,1769.0012100965014
BeO,368.0364229700956
BeS,196.41161229251907
BeSe,453.05605910409946
BeTe,265.1332487131116
BN,1297.6535193731645
BP,484.6934033296575
CdS,25.818777597301363
CdSe,17.555091536304044
CdTe,8.97031402923846
BrCu,8.669870475809189
ClCu,1.8972895569482464
AsGa,36.260249234690725
GaN,268.3436985461308
GaP,118.153031393418
GaSb,35.71790768152866
AsIn,24.83230873124552
InN,107.01979700285294
InP,85.89638395842621
InSb,14.66007638969998
MgTe,11.235859661473173
CSi,489.4072006791169
OZn,70.88344515489206
SZn,69.15317134764877
SeZn,21.42210007080816
ScSnAu,7.09
LiAlSi,5.9
ScNiSb,13.91
TmSnAu,4.61
MgCuSb,3.68
TbNiSb,9.06
TmNiSb,9.85
HoNiSb,9.69
BeAlB,18.71
DyNiSb,9.46
YSbPt,3.23
LuSnAu,4.72
ErSnAu,4.53
LiAlGe,5.08
TiCoSb,22.13
ScSbPt,7.67
LiZnN,17.39
LiZnAs,13.89
NbFeSb,23.43
LuSbPt,6.42
LiCdP,20.07
DyPbAu,3.35
YNiSb,9.03
ErSbPd,7.65
GdSbPt,3.34
HfSnPd,13.99
LiMgAs,20.18
HoGeAu,4.34
TbSbPt,3.82
TmSbPt,5.86
DySbPt,4.43
ErSbPt,5.41
HoSbPt,4.95
ThSnPt,4.15
LuNiSb,9.97
ZrNiSn,19.05
TiNiSn,17.54
TiTeOs,12.96
ZrFeTe,20.0
FeSiW,6.21
YNiP,2.37
TiSiPd,25.31
TiFeSe,27.6
ZrSiPd,18.35
MgScGa,3.88
TiFeTe,20.3
ScNiP,8.87
ScCoTe,12.7
TiSnPd,11.03
LiCaAs,20.16
NaCaAs,7.57
ZrSnPd,14.04
ZrInAu,9.42
ScGeAu,12.52
LiZnP,9.72
TiSiPt,34.51
ZrSiPt,14.11
ZrSnPt,13.23
BaNaSb,2.17
LaMgTl,6.26
CaMgSn,4.19
LiAgTe,3.38
CaCdSi,3.39
YBiPd,4.24
TiGePt,19.4
NdBiPd,4.59
LiCdAs,16.44
HoBiPd,6.78
DyBiPd,6.93
TmSbPd,7.66
LiCdAs,16.49
HoNiBi,9.44
MnGaPt,2.33
GdPbAu,3.18
GdSnAu,3.73
TiNiSb,3.64
ErNiSb,9.68
UNiSn,5.36
ThNiSn,7.15
ErPbAu,3.51
HoPbAu,3.43
HoSnAu,4.46
TbPbAu,3.26
DyBiPt,6.23
ErBiPt,6.35
HoBiPt,6.46
LuNiBi,9.83
ScNiBi,9.06
YNiBi,5.91
TiSnPt,11.18
USnPt,5.41
ZrCoBi,17.68
TaSbRu,16.23
VSbRu,6.9
ZrSbRu,3.36
LiMgP,19.94
NbSbRu,15.65
HoSbPd,7.72
GdNiBi,8.12
VFeSb,14.2
TmNiBi,9.36
GdNiSb,8.38
ScSbPd,11.07
LiMgBi,15.77
GdBiPt,5.54
YPbAu,3.28
HfNiSn,16.44
GdBiPd,6.8
ZrAsIr,10.43
NbCoSn,18.62
NaBeSb,3.62
LiSiB,11.09
LiAgSe,2.72
KBaSb,2.88
VAsRu,5.04
LiCaSb,26.07
CaCdSn,3.02
TiTeRu,14.54
NaCaSb,5.45
LiMgSb,14.63
LiCdSb,3.51
KSrSb,3.66
LiZnSb,4.81
CaZnSi,2.46
LiInSi,3.61
PrNiBi,4.47
YBiPt,4.61
ScBiPd,5.85
TbNiBi,8.57
ErNiBi,9.68
LaBiPd,4.35
NdNiBi,5.25
PrBiPd,4.19
TmBiPd,6.28
ErBiPd,6.53
TbBiPt,5.9
LuBiPt,5.77
TmBiPt,5.94
LiMgSb,14.63
TbBiPd,6.93
LuBiPd,5.75
TiSnIr,3.9
DySbPd,7.67
